cluster,avg_crime_score,incident_count,crime_weight,normalized_weight,lat,lon
0,6.0,2,12.0,0.042553191489361694,36.07233,-94.16925
1,6.625,8,53.0,0.26063829787234044,36.070135,-94.17239
2,4.571428571428571,42,192.0,0.9999999999999999,36.072088292857146,-94.17507849612734
3,6.5,2,13.0,0.047872340425531915,36.05908,-94.18025
4,4.857142857142857,7,34.0,0.15957446808510636,36.06599571428571,-94.16871142857144
5,2.2857142857142856,7,16.0,0.06382978723404255,36.06162,-94.17555857142858
6,7.25,4,29.0,0.13297872340425532,36.06073000000001,-94.1790475
7,5.333333333333333,3,16.0,0.06382978723404255,36.05893333333333,-94.18374333333334
8,6.0,2,12.0,0.042553191489361694,36.06055,-94.17619
9,4.533333333333333,15,68.0,0.3404255319148936,36.071320666666665,-94.17050133333332
10,4.857142857142857,7,34.0,0.15957446808510636,36.06775097142857,-94.1760535759671
11,3.4482758620689653,29,100.0,0.5106382978723404,36.06559137931035,-94.17510586206896
12,4.384615384615385,13,57.00000000000001,0.2819148936170213,36.06986769230769,-94.17954076923075
13,6.6,5,33.0,0.15425531914893617,36.07292,-94.17083
14,3.3333333333333335,3,10.0,0.03191489361702128,36.07158999999999,-94.17203333333332
15,5.333333333333333,3,16.0,0.06382978723404255,36.06039333333334,-94.18002333333334
16,3.2222222222222223,27,87.0,0.44148936170212766,36.065755555555555,-94.17192777777778
17,6.4,5,32.0,0.14893617021276595,36.075452,-94.17061
18,4.375,8,35.0,0.16489361702127658,36.05800875,-94.18199
19,3.25,12,39.0,0.18617021276595744,36.05547416666666,-94.16908666666666
20,5.285714285714286,7,37.0,0.17553191489361702,36.0684,-94.16845
21,4.2,5,21.0,0.09042553191489361,36.066622,-94.177606
22,5.3,10,53.0,0.26063829787234044,36.06805,-94.17892
23,2.0,2,4.0,0.0,36.06463,-94.17081
24,4.541666666666667,24,109.0,0.5585106382978723,36.06315193333334,-94.17674811666666
25,6.666666666666667,6,40.0,0.19148936170212766,36.067330000000005,-94.167875
26,5.0,2,10.0,0.03191489361702128,36.06652,-94.180815
27,3.9375,16,63.0,0.3138297872340426,36.073287565625,-94.17899386435008
28,2.25,4,9.0,0.026595744680851064,36.05842,-94.17956
29,5.0,2,10.0,0.03191489361702128,36.0547815,-94.1931291
30,2.0,2,4.0,0.0,36.06861000000001,-94.177725
31,3.2857142857142856,7,23.0,0.10106382978723404,36.04588,-94.1653
32,2.0,2,4.0,0.0,36.04401,-94.165485
33,1.6666666666666667,3,5.0,0.0053191489361702135,36.06739,-94.17050333333331
34,3.0,2,6.0,0.010638297872340424,36.07129,-94.17966
35,4.363636363636363,11,48.0,0.23404255319148934,36.07015545454545,-94.17631454545456
36,8.0,2,16.0,0.06382978723404255,36.070015,-94.16926
37,7.333333333333333,3,22.0,0.09574468085106383,36.072426666666665,-94.17699666666664
38,8.0,2,16.0,0.06382978723404255,36.07731,-94.17071
39,3.0,2,6.0,0.010638297872340424,36.057285,-94.184505
40,4.333333333333333,3,13.0,0.047872340425531915,36.07399,-94.17748
41,3.5,2,7.0,0.015957446808510637,36.0697,-94.16753
42,7.75,4,31.0,0.14361702127659573,36.07129,-94.17365
43,4.0,2,8.0,0.02127659574468085,36.07686,-94.17454
44,4.0,2,8.0,0.02127659574468085,36.06868,-94.1716
45,6.0,3,18.0,0.07446808510638298,36.06958,-94.17400000000002
46,4.454545454545454,11,48.99999999999999,0.23936170212765953,36.04988,-94.18224
47,6.8,5,34.0,0.15957446808510636,36.070172,-94.174896
48,5.5,2,11.0,0.03723404255319149,36.06204,-94.18069
49,4.333333333333333,3,13.0,0.047872340425531915,36.07587,-94.17304
50,5.5,2,11.0,0.03723404255319149,36.06297,-94.17394
51,11.0,3,33.0,0.15425531914893617,36.06409,-94.18116333333334
